Human Ensembl Gene ID,V1,    Yeast Ensembl Gene ID,Yeast Gene Name(s),   % Identity with respect to human gene, % Identity with respect to yeast gene
ENSG00000107862,GBF1,YJR031C,GEA1,17,22
ENSG00000108264,TADA2A,YDR448W,ADA2,26,27
ENSG00000108443,RPS6KB1,YHR205W,SCH9,33,21
ENSG00000108883,EFTUD2,YDR385W,"EFT1,EFT2",32,37
ENSG00000109475,RPL34,YIL052C,RPL34B,52,50
ENSG00000109534,GAR1,YHR089C,Gar1,52,55
ENSG00000109971,HSPA8,YER103W,SSA4,73,74
ENSG00000110048,OSBP,YAR042W,SWH1,28,19
ENSG00000110048,OSBP,YDL019C,OSH2,28,17
ENSG00000110063,DCPS,YOR173W,DCS2,32,31
ENSG00000110104,CCDC86,YGL029W,CGR1,12,37
ENSG00000110321,EIF4G2,YGL049C,TIF4632,11,11
ENSG00000110955,ATP5B,YJR121W,atp2,71,74
ENSG00000111142,METAP2,YBL091C,map2,45,52
ENSG00000111237,VPS29,YHR012W,VPS29,45,30
ENSG00000111361,EIF2B1,YKR026C,GCN3,42,42
ENSG00000111602,TIMELESS,YNL273W,TOF1,11,11
ENSG00000111667,USP5,YBR058C,UBP14,27,29
ENSG00000111711,GOLT1B,YMR292W,GOT1,41,41
ENSG00000112062,MAPK14,YLR113W,HOG1,50,41
ENSG00000112249,ASCC3,YGR271W,SLH1,38,43
ENSG00000112306,RPS12,YOR369C,rps12,49,45
ENSG00000112651,MRPL2,YEL050C,RML2,29,23
ENSG00000112658,SRF,YMR042W,ARG80,12,34
ENSG00000112739,PRPF4B,YLL019C,KNS1,11,16
ENSG00000113013,HSPA9,YEL030W,ECM10,59,62
ENSG00000113161,HMGCR,YLR450W,HMG2,36,31
ENSG00000113161,HMGCR,YML075C,HMG1,36,31
ENSG00000113194,FAF2,YDL091C,UBX3,16,16
ENSG00000113312,TTC1,YHR117W,TOM71,16,7
ENSG00000113569,NUP155,YBL079W,NUP170,20,18
ENSG00000113569,NUP155,YER105C,NUP157,18,18
ENSG00000113575,PPP2CA,YDL134C,PPH21,74,62
ENSG00000113575,PPP2CA,YDL188C,PPH22,74,61
ENSG00000113643,RARS,YHR091C,Msr1,21,22
ENSG00000113812,ACTR8,YOR141C,Arp8,25,18
ENSG00000114127,XRN1,YGL173C,KEM1,26,29
ENSG00000114391,RPL24,YGL031C,RPL24A,49,50
ENSG00000114391,RPL24,YGR148C,RPL24B,48,49
ENSG00000114491,UMPS,YEL021W,ura3,27,49
ENSG00000114686,MRPL3,YGR220C,mRpL9,27,35
ENSG00000114867,EIF4G1,YGL049C,TIF4632,11,19
ENSG00000115561,CHMP3,YKL041W,VPS24,24,27
ENSG00000115946,PNO1,YOR145C,pno1,47,43
ENSG00000116251,RPL22,YFL034C-A,RPL22B,41,43
ENSG00000116830,TTF2,YLR032W,RAD5,18,18
ENSG00000116957,TBCE,YER007W,PAC2,25,25
ENSG00000117118,SDHB,YLL041C,SDH2,61,65
ENSG00000117222,RBBP5,YAR003W,Swd1,22,28
ENSG00000117543,DPH5,YLR172C,DPH5,54,52
ENSG00000117593,DARS2,YPL104W,msd1,32,32
ENSG00000118181,RPS25,YGR027C,RPS25A,39,45
ENSG00000118181,RPS25,YLR333C,RPS25B,38,44
ENSG00000119318,RAD23B,YEL037C,Rad23,29,30
ENSG00000119383,PPP2R4,YPL152W,RRD2,34,30
ENSG00000119689,DLST,YDR148C,KGD2,42,41
ENSG00000119801,YPEL5,YBL049W,MOH1,34,30
ENSG00000120539,MASTL,YFL033C,RIM15,15,7
ENSG00000120837,NFYB,YBL021C,HAP3,32,46
ENSG00000121073,SLC35B1,YPL244C,HUT1,23,22
ENSG00000122026,RPL21,YPL079W,RPL21B,59,59
ENSG00000123505,AMD1,YOL052C,SPE2,33,28
ENSG00000124562,SNRPC,YJL020C,BBC1,16,2
ENSG00000124571,XPO5,YDR335W,MSN5,19,19
ENSG00000124614,RPS10,YMR230W,Rps10b,33,52
ENSG00000125037,EMC3,YKL207W,AIM27,29,30
ENSG00000125454,SLC25A19,YGR096W,tpc1,27,27
ENSG00000125691,RPL23,YBL087C,"RPL23B,Rpl23a",77,79
ENSG00000125835,SNRPB,YER029C,SMB1,23,28
ENSG00000126226,PCID2,YJR084W,CSN12,19,21
ENSG00000126267,COX6B1,YLR038C,COX12,42,43
ENSG00000126457,PRMT1,YBR034C,HMT1,43,46
ENSG00000126581,BECN1,YPL120W,VPS30,26,21
ENSG00000126883,NUP214,YDR192C,NUP42,2,9
ENSG00000128059,PPAT,YMR300C,ade4,31,32
ENSG00000128463,EMC4,YGL231C,EMC4,27,26
ENSG00000128534,NAA38,YJL124C,LSM1,31,17
ENSG00000129559,NEDD8,YDR139C,RUB1,56,58
ENSG00000129932,DOHH,YJR070C,LIA1,47,43
ENSG00000130724,CHMP2A,YKL002W,did4,45,43
ENSG00000130725,UBE2M,YLR306W,UBC12,34,34
ENSG00000130810,PPAN,YDR312W,SSF2,18,31
ENSG00000130810,PPAN,YHR066W,SSF1,18,32
ENSG00000130939,UBE4B,YDL190C,UFD2,19,26
ENSG00000131051,RBM39,YNL175C,NOP13,13,17
ENSG00000131469,RPL27,YDR471W,RPL27B,56,56
ENSG00000131475,VPS25,YJR102C,vps25,31,27
ENSG00000131725,WDR44,YKL121W,DGR2,15,16
ENSG00000131725,WDR44,YMR102C,YMR102C,18,19
ENSG00000132341,RAN,YLR293C,GSP1,81,79
ENSG00000132341,RAN,YOR185C,gsp2,80,79
ENSG00000132507,EIF5A,YJR047C,ANB1,52,61
ENSG00000133028,SCO1,YBR037C,sco1,28,29
ENSG00000133112,TPT1,YKL056C,TMA19,39,40
ENSG00000134371,CDC73,YLR418C,Cdc73,17,23
ENSG00000134419,RPS15A,YJL190C,RPS22A,77,77
ENSG00000134419,RPS15A,YLR367W,RPS22B,76,76
ENSG00000134759,ELP2,YGR200C,ELP2,26,30
ENSG00000135837,CEP350,YPL174C,NIP100,6,23
ENSG00000135940,COX5B,YGL187C,cox4,28,23
ENSG00000135972,MRPS9,YBR146W,MRPS9,22,31
ENSG00000136003,ISCU,YOR226C,ISU2,57,61
ENSG00000136003,ISCU,YPL135W,ISU1,57,58
ENSG00000136485,DCAF7,YPL247C,YPL247C,30,8
ENSG00000136492,BRIP1,YPL008W,CHL1,14,20
ENSG00000136758,YME1L1,YPR024W,YME1,35,36
ENSG00000136810,TXN,YGR209C,trx2,48,48
ENSG00000136810,TXN,YLR043C,TRX1,45,46
ENSG00000136888,ATP6V1G1,YHR039C-A,VMA10,36,37
ENSG00000136942,RPL35,YDL136W,"RpL35A,RPL35B",56,58
ENSG00000137168,PPIL1,YDR304C,CPR5,42,31
ENSG00000137168,PPIL1,YHR057C,CPR2,44,36
ENSG00000137770,CTDSPL2,YLL010C,PSR1,19,21
ENSG00000137770,CTDSPL2,YLR019W,PSR2,18,21
ENSG00000137815,RTF1,YGL244W,Rtf1,19,24
ENSG00000137818,RPLP1,YDL130W,RPP1B,36,39
ENSG00000138160,KIF11,YBL063W,kip1,28,27
ENSG00000138231,DBR1,YKL149C,DBR1,26,36
ENSG00000138326,RPS24,YIL069C,"RPS24A,RPS24B",26,55
ENSG00000138363,ATIC,YLR028C,ADE16,61,61
ENSG00000138363,ATIC,YMR120C,ADE17,62,62
ENSG00000138376,BARD1,YIL112W,HOS4,11,8
ENSG00000138385,SSB,YDL051W,LHP1,12,18
ENSG00000139131,YARS2,YPL097W,MSY1,31,30
ENSG00000139726,DENR,YJR014W,TMA22,29,29
ENSG00000139977,NAA30,YPR051W,MAK3,21,43
ENSG00000140992,PDPK1,YDR466W,PKH3,27,17
ENSG00000140992,PDPK1,YDR490C,PKH1,29,21
ENSG00000140992,PDPK1,YOL100W,PKH2,30,15
ENSG00000141367,CLTC,YGL206C,CHC1,49,49
ENSG00000141543,EIF4A3,YJL138C,"tif2,tif1",59,61
ENSG00000141543,EIF4A3,YKR059W,"tif2,tif1",59,61
ENSG00000141867,BRD4,YDL070W,BDF2,10,21
ENSG00000142541,RPL13A,YIL133C,RPL16A,56,57
ENSG00000142544,CTU1,YGL211W,NCS6,45,43
ENSG00000142657,PGD,YGR256W,GND2,65,64
ENSG00000142676,RPL11,YGR085C,RPL11B,69,70
ENSG00000142676,RPL11,YPR102C,RPL11A,69,70
ENSG00000142937,RPS8,YBL072C,"RPS8A,RPS8B",60,63
ENSG00000142937,RPS8,YER102W,"RPS8A,RPS8B",60,63
ENSG00000143093,STRIP1,YNL127W,FAR11,14,12
ENSG00000143319,ISG20L2,YOL080C,REX4,25,31
ENSG00000144028,SNRNP200,YGR271W,SLH1,32,35
ENSG00000144744,UBA3,YPR066W,uba3,28,44
ENSG00000145386,CCNA2,YGR108W,CLB1,19,17
ENSG00000145386,CCNA2,YGR109C,CLB6,18,20
ENSG00000145386,CCNA2,YLR210W,CLB4,20,19
ENSG00000145386,CCNA2,YPR119W,CLB2,21,19
ENSG00000145388,METTL14,YCL055W,KAR4,19,26
ENSG00000145425,RPS3A,YLR441C,RPS1A,56,58
ENSG00000145592,RPL37,YDR500C,RPL37B,55,60
ENSG00000145741,BTF3,YDR252W,BTT1,16,22
ENSG00000145741,BTF3,YPL037C,EGD1,22,29
ENSG00000146223,RPL7L1,YPL198W,RPL7B,33,33
ENSG00000146282,RARS2,YHR091C,Msr1,38,34
ENSG00000148303,RPL7A,YHL033C,RPL8A,55,57
ENSG00000148303,RPL7A,YLL045C,RPL8B,56,58
ENSG00000148459,PDSS1,YBR003W,COQ1,32,28
ENSG00000149084,HSD17B12,YBR159W,IFA38,31,28
ENSG00000149554,CHEK1,YBR274W,Chk1,29,26
ENSG00000149806,FAU,YLR287C-A,"RPS30A,RPS30B",27,57
ENSG00000149806,FAU,YOR182C,"RPS30A,RPS30B",27,57
ENSG00000149923,PPP4C,YDL134C,PPH21,58,49
ENSG00000149923,PPP4C,YDL188C,PPH22,58,47
ENSG00000151461,UPF2,YHR077C,NMD2,19,22
ENSG00000152404,CWF19L2,YGR093W,YGR093W,7,13
ENSG00000152942,RAD17,YER173W,rad24,18,19
ENSG00000153147,SMARCA5,YOR304W,ISW2,49,46
ENSG00000153774,CFDP1,YBR231C,SWC5,22,22
ENSG00000154174,TOMM70A,YHR117W,TOM71,21,20
ENSG00000154473,BUB3,YER107C,GLE2,35,32
ENSG00000155827,RNF20,YDL074C,Bre1,14,19
ENSG00000156502,SUPV3L1,YPL029W,SUV3,26,27
ENSG00000156508,EEF1A1,YPR080W,"tef2,TEF1",80,81
ENSG00000156970,BUB1B,YJL013C,mad3,10,20
ENSG00000156976,EIF4A2,YJL138C,"tif2,tif1",63,65
ENSG00000156976,EIF4A2,YKR059W,"tif2,tif1",63,65
ENSG00000157106,SMG1,YJR066W,tor1,10,15
ENSG00000159063,ALG8,YOR067C,ALG8,37,33
ENSG00000159131,GART,YGL234W,"ADE5,7",35,44
ENSG00000159210,SNF8,YPL002C,snf8,33,37
ENSG00000159259,CHAF1B,YML102W,CAC2,28,33
ENSG00000159352,PSMD4,YHR200W,RPN10,34,49
ENSG00000159593,NAE1,YPL003W,ULA1,25,29
ENSG00000160193,WDR4,YDR165W,TRM82,20,19
ENSG00000161217,PCYT1A,YGR202C,PCT1,34,30
ENSG00000161960,EIF4A1,YJL138C,"tif2,tif1",64,65
ENSG00000161960,EIF4A1,YKR059W,"tif2,tif1",64,65
ENSG00000161970,RPL26,YGR034W,RPL26B,46,53
ENSG00000161970,RPL26,YLR344W,RPL26A,46,53
ENSG00000162129,CLPB,YDR258C,HSP78,20,18
ENSG00000162129,CLPB,YLL026W,HSP104,20,15
ENSG00000162244,RPL29,YFR032C-A,rpl29,23,61
ENSG00000162521,RBBP4,YEL056W,hat2,35,37
ENSG00000163029,SMC6,YLR383W,SMC6,22,21
ENSG00000163125,RPRD2,YDR289C,RTT103,4,14
ENSG00000163312,HELQ,YGR271W,SLH1,12,7
ENSG00000163584,RPL22L1,YFL034C-A,RPL22B,39,39
ENSG00000163655,GMPS,YMR217W,GUA1,31,41
ENSG00000163682,RPL9,YGL147C,RPL9A,48,49
ENSG00000163682,RPL9,YNL067W,RPL9B,49,49
ENSG00000163931,TKT,YBR117C,TKL2,23,22
ENSG00000163931,TKT,YPR074C,TKL1,25,23
ENSG00000164494,PDSS2,YBR003W,COQ1,20,17
ENSG00000164587,RPS14,YCR031C,RpS14a,73,80
ENSG00000164587,RPS14,YJL191W,RpS14b,72,79
ENSG00000165119,HNRNPK,YBR233W,pbp2,16,18
ENSG00000165629,ATP5C1,YBR039W,atp3,39,37
ENSG00000165732,DDX21,YGL078C,DBP3,18,27
ENSG00000165819,METTL3,YGL192W,IME4,32,31
ENSG00000166260,COX11,YPL132W,COX11,40,37
ENSG00000166477,LEO1,YOR123C,LEO1,16,23
ENSG00000166483,WEE1,YJL187C,SWE1,16,13
ENSG00000167085,PHB,YGR132C,phb1,53,51
ENSG00000167112,TRUB2,YNL292W,PUS4,16,13
ENSG00000167118,URM1,YIL008W,URM1,21,30
ENSG00000167325,RRM1,YIL066C,RNR3,64,59
ENSG00000167526,RPL13,YDL082W,Rpl13a,46,49
ENSG00000167615,LENG8,YPR045C,YPR045C,15,26
ENSG00000167658,EEF2,YOR133W,"EFT1,EFT2",66,67
ENSG00000167670,CHAF1A,YPR018W,rlf2,14,22
ENSG00000168028,RPSA,YGR214W,RPS0A,46,54
ENSG00000168028,RPSA,YLR048W,RPS0B,46,54
ENSG00000168438,CDC40,YDR364C,Cdc40,28,35
ENSG00000168906,MAT2A,YDR502C,SAM2,65,67
ENSG00000168906,MAT2A,YLR180W,sam1,66,68
ENSG00000168924,LETM1,YOL027C,MDM38,19,25
ENSG00000169021,UQCRFS1,YEL024W,rip1,37,47
ENSG00000169679,BUB1,YJL013C,mad3,7,16
ENSG00000170348,TMED10,YML012W,ERV25,35,36
ENSG00000170473,WIBG,YGR054W,YGR054W,19,6
ENSG00000170515,PA2G4,YBL091C,map2,19,18
ENSG00000170855,TRIAP1,YKL053C-A,MDM35,38,34
ENSG00000170889,RPS9,YPL081W,RPS9A,66,65
ENSG00000171530,TBCA,YOR265W,RBL2,25,25
ENSG00000171634,BPTF,YGR252W,gcn5,3,17
ENSG00000171793,CTPS1,YJR103W,URA8,54,56
ENSG00000171858,RPS21,YKR057W,RPS21A,55,53
ENSG00000171863,RPS7,YNL096C,RPS7B,48,49
ENSG00000172115,CYCS,YEL039C,CYC7,58,54
ENSG00000172115,CYCS,YJR048W,cyc1,62,60
ENSG00000172809,RPL38,YLR325C,RPL38,56,50
ENSG00000173545,ZNF622,YLR387C,REH1,24,27
ENSG00000173614,NMNAT1,YGR010W,NMA2,39,27
ENSG00000173614,NMNAT1,YLR328W,NMA1,37,26
ENSG00000174173,TRMT10C,YOL093W,TRM10,12,16
ENSG00000174231,PRPF8,YHR165C,Prp8,62,60
ENSG00000174444,RPL4,YBR031W,RPL4A,48,56
ENSG00000174444,RPL4,YDR012W,RPL4B,48,56
ENSG00000174748,RPL15,YMR121C,RPL15B,71,71
ENSG00000175166,PSMD2,YHR027C,RPN1,44,40
ENSG00000175467,SART1,YOR308C,snu66,16,22
ENSG00000175595,ERCC4,YPL022W,RAD1,32,26
ENSG00000176108,CHMP6,YMR077C,vps20,30,27
ENSG00000176473,WDR25,YDR364C,Cdc40,13,16
ENSG00000177600,RPLP2,YOL039W,RPP2A,47,51
ENSG00000177954,RPS27,YKL156W,RPS27A,69,71
ENSG00000178035,IMPDH2,YAR073W,,42,54
ENSG00000178035,IMPDH2,YHR216W,IMD2,61,60
ENSG00000178035,IMPDH2,YLR432W,IMD3,62,61
ENSG00000178035,IMPDH2,YML056C,IMD4,62,61
ENSG00000178921,PFAS,YGR061C,ADE6,34,34
ENSG00000180098,TRNAU1AP,YBR212W,NGR1,26,11
ENSG00000182180,MRPS16,YPL013C,mrps16,28,32
ENSG00000182199,SHMT2,YBR263W,SHM1,50,51
ENSG00000182199,SHMT2,YLR058C,shm2,50,53
ENSG00000182446,NPLOC4,YBR170C,npl4,33,34
ENSG00000182944,EWSR1,YHR089C,Gar1,6,20
ENSG00000186591,UBE2H,YEL012W,UBC8,55,46
ENSG00000187522,HSPA14,YER103W,SSA4,34,27
ENSG00000187790,FANCM,YIR002C,mph1,13,26
ENSG00000188846,RPL14,YHL001W,RPL14B,26,41
ENSG00000196365,LONP1,YBL022C,Pim1,43,36
ENSG00000196367,TRRAP,YHR099W,Tra1,26,27
ENSG00000196419,XRCC6,YMR284W,YKU70,17,17
ENSG00000196455,PIK3R4,YBR097W,VPS15,27,25
ENSG00000196531,NACA,YHR193C,EGD2,7,36
ENSG00000197102,DYNC1H1,YKR054C,DYN1,25,28
ENSG00000197111,PCBP2,YBR233W,pbp2,23,20
ENSG00000197713,RPE,YJL121C,RPE1,55,53
ENSG00000197728,RPS26,YER131W,RPS26B,63,61
ENSG00000197756,RPL37A,YJR094W-A,"RPL43A,RPL43B",66,66
ENSG00000197958,RPL12,YEL054C,"RPL12A,RPL12B",70,70
ENSG00000198258,UBL5,YNR032C-A,HUB1,64,64
ENSG00000198700,IPO9,YGL241W,KAP114,18,19
ENSG00000198730,CTR9,YOL145C,CTR9,21,23
ENSG00000198755,RPL10A,YPL220W,"RPL1B,RPL1A",59,59
ENSG00000198793,MTOR,YJR066W,tor1,36,37
ENSG00000198900,TOP1,YOL006C,TOP1,39,39
ENSG00000198901,PRC1,YOR058C,ASE1,17,12
ENSG00000198917,C9orf114,YGR283C,YGR283C,18,20
ENSG00000198917,C9orf114,YMR310C,YMR310C,14,17
ENSG00000204435,CSNK2B,YOR039W,CKB2,40,34
ENSG00000204574,ABCF1,YFR009W,GCN20,25,28
ENSG00000205339,IPO7,YDR395W,SXM1,20,22
ENSG00000205339,IPO7,YJR132W,NMD5,23,23
ENSG00000205981,DNAJC19,YNL328C,MDJ2,37,29
ENSG00000211456,SACM1L,YKL212W,sac1,34,32
ENSG00000213465,ARL2,YOR094W,ARF3,39,39
ENSG00000213741,RPS29,YLR388W,RPS29A,54,64
ENSG00000214517,PPME1,YHR075C,ppe1,27,26
ENSG00000215301,DDX3X,YPL119C,dbp1,48,51
ENSG00000221914,PPP2R2A,YGL190C,CDC55,52,45
ENSG00000221983,UBA52,YIL148W,"RPL40B,RPL40A",90,90
ENSG00000221983,UBA52,YKR094C,"RPL40B,RPL40A",90,90
ENSG00000223501,VPS52,YDR484W,VPS52,17,19
ENSG00000231500,RPS18,YML026C,"RPS18A,RPS18B",66,69
ENSG00000232119,MCTS1,YER007C-A,tma20,45,45
ENSG00000240682,ISY1,YJR050W,ISY1,22,29
ENSG00000243667,WDR92,YKL190W,CNB1,0,1
ENSG00000253710,ALG11,YNL048W,alg11,36,32
ENSG00000254772,EEF1G,YKL081W,TEF4,32,34
ENSG00000254772,EEF1G,YPL048W,CaM1,32,34
ENSG00000258366,RTEL1,YPL008W,CHL1,15,21
ENSG00000265681,RPL17,YJL177W,RPL17B,52,52
ENSG00000105568,PPP2R1A,YAL016W,TPD3,45,42
ENSG00000158417,EIF5B,YAL035W,FUN12,34,41
ENSG00000108298,RPL19,YBL027W,"RPL19B,RPL19A",55,57
ENSG00000171793,CTPS1,YBL039C,URA7,56,57
ENSG00000152234,ATP5A1,YBL099W,Atp1,68,69
ENSG00000142534,RPS11,YBR048W,"RPS11A,RPS11B",68,69
ENSG00000108298,RPL19,YBR084C-A,"RPL19B,RPL19A",55,57
ENSG00000137154,RPS6,YBR181C,"rps6b,RPS6A",59,62
ENSG00000170889,RPS9,YBR189W,RPS9B,67,67
ENSG00000122026,RPL21,YBR191W,RPL21A,59,59
ENSG00000144029,MRPS5,YBR251W,Mrps5,16,23
ENSG00000173545,ZNF622,YBR267W,REI1,25,31
ENSG00000006712,PAF1,YBR279W,paf1,20,24
ENSG00000099956,SMARCB1,YBR289W,SNF5,26,11
ENSG00000137513,NARS2,YCR024C,SLM5,38,36
ENSG00000071462,WBSCR22,YCR047C,BUD23,42,46
ENSG00000106245,BUD31,YCR063W,bud31,52,48
ENSG00000122692,SMU1,YCR084C,tup1,5,4
ENSG00000164134,NAA15,YDL040C,NAT1,28,28
ENSG00000119414,PPP6C,YDL047W,Sit4,56,62
ENSG00000213741,RPS29,YDL061C,RPS29B,52,63
ENSG00000071082,RPL31,YDL075W,RPL31A,51,58
ENSG00000137818,RPLP1,YDL081C,RPP1A,43,46
ENSG00000257365,FNTB,YDL090C,ram1,36,37
ENSG00000111581,NUP107,YDL116W,NUP84,16,21
ENSG00000110367,DDX6,YDL160C,DHH1,59,56
ENSG00000114573,ATP6V1A,YDL185W,TFP1,65,37
ENSG00000136942,RPL35,YDL191W,"RpL35A,RPL35B",56,58
ENSG00000126215,XRCC3,YDR004W,RAD57,20,15
ENSG00000142534,RPS11,YDR025W,"RPS11A,RPS11B",68,69
ENSG00000055483,USP36,YDR069C,DOA4,8,10
ENSG00000156239,N6AMT1,YDR140W,MTQ2,35,34
ENSG00000167113,COQ4,YDR204W,Coq4,34,27
ENSG00000004455,AK2,YDR226W,adk1,53,57
ENSG00000116874,WARS2,YDR268W,MSW1,39,37
ENSG00000241837,ATP5O,YDR298C,atp5,32,33
ENSG00000080603,SRCAP,YDR334W,SWR1,13,29
ENSG00000116898,MRPS15,YDR337W,mRpS28,18,16
ENSG00000127922,SHFM1,YDR363W-A,SEM1,44,35
ENSG00000074582,BCS1L,YDR375C,BCS1,49,45
ENSG00000164167,LSM6,YDR378C,lsm6,45,42
ENSG00000177600,RPLP2,YDR382W,RPP2B,48,50
ENSG00000197958,RPL12,YDR418W,"RPL12A,RPL12B",70,70
ENSG00000231500,RPS18,YDR450W,"RPS18A,RPS18B",66,69
ENSG00000143256,PFDN2,YEL003W,GIM4,26,36
ENSG00000185883,ATP6V0C,YEL027W,CUP5,68,66
ENSG00000100554,ATP6V1D,YEL051W,VMA8,51,49
ENSG00000138160,KIF11,YEL061C,CIN8,24,25
ENSG00000141385,AFG3L2,YER017C,AFG3,42,44
ENSG00000109475,RPL34,YER056C-A,RPL34A,52,50
ENSG00000167325,RRM1,YER070W,rnr1,65,58
ENSG00000138326,RPS24,YER074W,"RPS24A,RPS24B",26,55
ENSG00000162396,PARS2,YER087W,AIM10,32,26
ENSG00000051180,RAD51,YER095W,rad51,60,51
ENSG00000108384,RAD51C,YER095W,rad51,25,23
ENSG00000182185,RAD51B,YER095W,rad51,22,21
ENSG00000125691,RPL23,YER117W,"RPL23B,Rpl23a",77,79
ENSG00000014919,COX15,YER141W,COX15,39,33
ENSG00000155463,OXA1L,YER154W,OXA1,23,29
ENSG00000103423,DNAJA3,YFL016C,mdj1,31,29
ENSG00000091140,DLD,YFL018C,LPD1,54,55
ENSG00000108106,UBE2S,YGL058W,RAD6,22,28
ENSG00000105258,POLR2I,YGL070C,Rpb9,40,41
